Metadata_Well,Metadata_Inducer,Metadata_Inducer_dose,Metadata_Inhibitor,Metadata_Inhibitor_dose
B2,DMSO,0.15%,DMSO,0.15%
C2,DMSO,0.15%,MCC950,5uM
D2,S730,9.99uM,DMSO,0.15%
E2,S730,3.33uM,DMSO,0.15%
F2,S730,1.08uM,DMSO,0.15%
G2,S730,0.333uM,DMSO,0.15%
H2,S730,0.0832uM,DMSO,0.15%
I2,S730,0.0416uM,DMSO,0.15%
J2,S730,9.99uM,MCC950,5uM
K2,S730,3.33uM,MCC950,5uM
L2,S730,1.08uM,MCC950,5uM
M2,S730,0.333uM,MCC950,5uM
N2,S730,0.0832uM,MCC950,5uM
O2,S730,0.0416uM,MCC950,5uM
B3,DMSO,0.15%,DMSO,0.15%
C3,DMSO,0.15%,MCC950,5uM
D3,S730,9.99uM,DMSO,0.15%
E3,S730,3.33uM,DMSO,0.15%
F3,S730,1.08uM,DMSO,0.15%
G3,S730,0.333uM,DMSO,0.15%
H3,S730,0.0832uM,DMSO,0.15%
I3,S730,0.0416uM,DMSO,0.15%
J3,S730,9.99uM,MCC950,5uM
K3,S730,3.33uM,MCC950,5uM
L3,S730,1.08uM,MCC950,5uM
M3,S730,0.333uM,MCC950,5uM
N3,S730,0.0832uM,MCC950,5uM
O3,S730,0.0416uM,MCC950,5uM
B4,DMSO,0.15%,DMSO,0.15%
C4,DMSO,0.15%,MCC950,5uM
D4,uM5856,9.99uM,DMSO,0.15%
E4,uM5856,3.33uM,DMSO,0.15%
F4,uM5856,1.08uM,DMSO,0.15%
G4,uM5856,0.333uM,DMSO,0.15%
H4,uM5856,0.0832uM,DMSO,0.15%
I4,uM5856,0.0416uM,DMSO,0.15%
J4,uM5856,9.99uM,MCC950,5uM
K4,uM5856,3.33uM,MCC950,5uM
L4,uM5856,1.08uM,MCC950,5uM
M4,uM5856,0.333uM,MCC950,5uM
N4,uM5856,0.0832uM,MCC950,5uM
O4,uM5856,0.0416uM,MCC950,5uM
B5,DMSO,0.15%,DMSO,0.15%
C5,DMSO,0.15%,MCC950,5uM
D5,uM5856,9.99uM,DMSO,0.15%
E5,uM5856,3.33uM,DMSO,0.15%
F5,uM5856,1.08uM,DMSO,0.15%
G5,uM5856,0.333uM,DMSO,0.15%
H5,uM5856,0.0832uM,DMSO,0.15%
I5,uM5856,0.0416uM,DMSO,0.15%
J5,uM5856,9.99uM,MCC950,5uM
K5,uM5856,3.33uM,MCC950,5uM
L5,uM5856,1.08uM,MCC950,5uM
M5,uM5856,0.333uM,MCC950,5uM
N5,uM5856,0.0832uM,MCC950,5uM
O5,uM5856,0.0416uM,MCC950,5uM
